
	Date	Time	AS Instance	Act. WPs	Dia.WPs	RFC Normal	RFC Low	CPU Usr	CPU Sys	CPU Idle	  CPU.	  Ava.	Rea.	Ste.	Paging in	Paging out	Free Mem.	FreeMem	Free(+FS)	EM alloc.	EM attach.	Heap Memor	Paging Mem	Pri.	Dia.	Ave.	Ave.	Upd.	Enq.	Logins	Sessions	   RTT	  Time

	2025/01/06	00:00:04	tels4happa01_PS4_00	     15	    14	       25	    25	    15	     1	     84	 1.87	10.00	0.3	  0	       0	       38	      56	37,012	  37,012	  20,692	   18,232	        0	   22,640	  1	  3	  3	  3	  0	  0	  199	    203	  488	     0
	2025/01/06	00:00:30	tels4happa09_PS4_00	      1	     1	        0	     0	     0	     0	    100	 0.19	10.00	0.2	  0	       0	        0	      75	49,722	  49,722	  15,328	   15,300	        0	        0	  0	  1	  0	  0	  0	  0	    8	      8	  459	10,009
	2025/01/06	00:00:50	tels4happa08_PS4_00	      1	     1	        0	     0	     1	     0	     99	 0.22	10.00	0.2	  0	       0	        0	      74	48,968	  48,968	  15,328	   15,304	        0	        0	  0	  1	  0	  0	  0	  0	    8	      8	  401	10,020
	2025/01/06	00:01:10	tels4happa02_PS4_00	     18	     6	       32	    32	    17	     2	     81	 3.35	15.00	0.3	  0	       0	        0	      63	62,431	  62,431	  29,540	   26,396	        0	   58,758	  1	  1	  4	  4	  0	  0	  199	    210	  404	10,120
	2025/01/06	00:01:10	tels4happa07_PS4_00	      7	     7	       32	    32	     2	     1	     97	 0.34	10.00	0.2	  0	       0	        0	      70	45,879	  45,879	  15,632	   15,600	        0	        0	  0	  1	  4	  5	  0	  0	   13	     13	  482	10,121
	2025/01/06	00:01:30	tels4happa06_PS4_00	      5	     5	       32	    32	     7	     1	     92	 0.97	10.00	0.5	  0	       0	        0	      70	46,207	  46,207	  15,364	   15,356	        0	        0	  0	  1	  4	  5	  0	  0	   13	     13	  314	 9,117
	2025/01/06	00:01:50	tels4happa05_PS4_00	      2	     1	       48	    45	     2	     1	     97	 0.41	10.00	0.3	  0	       0	        0	      70	45,925	  45,925	  15,340	   15,304	        0	        0	  0	 47	  1	  1	  0	  0	   11	     11	  370	10,016
	2025/01/06	00:02:00	tels4happa03_PS4_00	      6	     4	       32	    32	    26	     2	     72	 4.70	13.94	0.7	  0	       0	       89	      63	62,269	  62,269	  27,384	   24,436	        0	   16,879	  0	  1	  3	  4	  0	  0	  191	    194	  354	10,177
	2025/01/06	00:02:10	tels4happa04_PS4_00	      1	     1	       37	    35	     3	     1	     96	 0.48	10.00	0.2	  0	       0	        0	      74	48,699	  48,699	  15,336	   15,300	        0	        7	  0	  1	  1	  1	  0	  0	   10	     10	  330	10,010
	2025/01/06	00:05:00	tels4happa01_PS4_00	      6	     6	       25	    25	    19	     3	     78	 2.42	10.00	1.0	  0	       0	        0	      56	37,227	  37,227	  21,220	   18,716	      872	   23,921	  1	  3	  4	  4	  0	  0	  210	    217	  441	10,150
	2025/01/06	00:05:30	tels4happa09_PS4_00	      1	     1	        0	     0	     2	     1	     97	 0.41	10.00	0.2	  0	       0	        0	      75	49,658	  49,658	  15,332	   15,320	        0	        0	  0	  1	  0	  0	  0	  0	    9	      9	  651	10,014
	2025/01/06	00:05:50	tels4happa08_PS4_00	      1	     1	        0	     0	     1	     0	     99	 0.20	10.00	0.2	  0	       0	        0	      74	48,887	  48,887	  15,332	   15,308	        0	        0	  0	  1	  0	  0	  0	  0	    9	      9	  336	10,015
	2025/01/06	00:06:10	tels4happa02_PS4_00	      3	     1	       32	    32	    13	     1	     86	 2.58	15.00	0.3	  0	       0	        0	      60	59,014	  59,014	  28,456	   25,032	        0	   42,091	  0	  2	  1	  3	  0	  0	  221	    228	  461	10,120
	2025/01/06	00:06:10	tels4happa07_PS4_00	      6	     6	       32	    32	     3	     0	     97	 0.50	10.00	0.1	  0	       0	        0	      69	45,322	  45,322	  15,360	   15,332	        0	        0	  0	  1	  5	  5	  0	  0	   13	     13	  432	10,120
	2025/01/06	00:06:30	tels4happa06_PS4_00	      6	     6	       32	    32	     8	     1	     91	 1.08	10.00	0.2	  0	       0	        0	      70	45,994	  45,994	  15,372	   15,360	        0	        0	  0	  1	  4	  5	  0	  0	   14	     14	  587	 9,120
	2025/01/06	00:06:50	tels4happa05_PS4_00	      2	     2	       48	    44	     1	     1	     98	 0.26	10.00	0.1	  0	       0	        0	      69	45,813	  45,813	  15,348	   15,312	        0	        0	  0	 46	  1	  0	  0	  0	   11	     11	  398	10,011
